#Lektion 7.1
tacêre|taceô||schweigen, verschweigen
pulcher|pulchra,pulchrum||schön
accêdere|accêdô||herbeikommen,hingehen,sich nächern
abesse|absum||abwesend sein,nicht da sein,fehlen
sî|||wenn,falls
auxillium|auxiliî|n|die Hilfe
#Lektion 7.2
saepe||Adv.|oft
saepe||Adv.|oft
saepe||Adv.|oft
saepe||Adv.|oft
saepe||Adv.|oft
saepe||Adv.|oft
saepe||Adv.|oft
saepe||Adv.|oft
saepe||Adv.|oft
saepe||Adv.|oft
saepe||Adv.|oft
saepe||Adv.|oft
saepe||Adv.|oft
saepe||Adv.|oft
saepe||Adv.|oft
saepe||Adv.|oft
saepe||Adv.|oft
saepe||Adv.|oft
saepe||Adv.|oft
saepe||Adv.|oft
saepe||Adv.|oft
saepe||Adv.|oft
saepe||Adv.|oft
saepe||Adv.|oft
saepe||Adv.|oft
saepe||Adv.|oft
saepe||Adv.|oft
saepe||Adv.|oft
saepe||Adv.|oft
saepe||Adv.|oft
saepe||Adv.|oft
saepe||Adv.|oft
saepe||Adv.|oft
saepe||Adv.|oft
saepe||Adv.|oft
saepe||Adv.|oft
saepe||Adv.|oft
saepe||Adv.|oft
saepe||Adv.|oft
saepe||Adv.|oft
saepe||Adv.|oft
saepe||Adv.|oft
saepe||Adv.|oft
saepe||Adv.|oft
saepe||Adv.|oft
saepe||Adv.|oft
saepe||Adv.|oft
saepe||Adv.|oft
saepe||Adv.|oft
saepe||Adv.|oft
saepe||Adv.|oft
saepe||Adv.|oft
